"draw_date","method","suggested_last2","actual_last2","hit_last2","suggested_3digit","actual_3digit","hit_3digit","rank_hit"
"2018-03-02","frequency_score_v1","66,11,24,08,26,38,73,03,04,06,07,13,15,16,20,21,28,31,34,40","18","0","596,983,005,141,333,360,390,477,609,630,726,775,923,947,004,017,022,032,036,038","293,415,589,870","0",""
"2018-03-16","frequency_score_v1","66,11,24,08,26,38,73,03,04,06,07,13,15,16,18,20,21,28,31,34","64","0","596,983,005,141,333,360,390,477,609,630,726,775,870,923,947,004,017,022,032,036","205,559,720,820","0",""
"2018-04-01","frequency_score_v1","66,11,24,08,26,38,73,03,04,06,07,13,15,16,18,20,21,28,31,34","31","1","596,983,005,141,333,360,390,477,609,630,720,726,775,870,923,947,004,017,022,032","073,638,787,851","0","19"
"2018-04-16","frequency_score_v1","66,11,24,08,26,31,38,73,03,04,06,07,13,15,16,18,20,21,28,34","73","1","596,983,005,141,333,360,390,477,609,630,720,726,775,787,851,870,923,947,004,017","076,229,602,654","0","8"
"2018-05-02","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,13,15,16,18,20,21,28,34","27","0","596,983,005,141,333,360,390,477,609,630,720,726,775,787,851,870,923,947,004,017","038,225,855,980","0",""
"2018-05-16","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,13,15,16,18,20,21,27,28","30","0","596,983,005,038,141,333,360,390,477,609,630,720,726,775,787,851,870,923,947,004","047,201,357,629","0",""
"2018-06-01","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,13,15,16,18,20,21,27,28","10","0","596,983,005,038,141,333,360,390,477,609,630,720,726,775,787,851,870,923,947,004","117,248,553,953","0",""
"2018-06-16","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,10,13,15,16,18,20,21,27","32","0","596,983,005,038,141,333,360,390,477,609,630,720,726,775,787,851,870,923,947,004","131,132,464,507","0",""
"2018-07-01","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,10,13,15,16,18,20,21,27","29","0","596,983,005,038,141,333,360,390,464,477,507,609,630,720,726,775,787,851,870,923","210,623,834,901","0",""
"2018-07-16","frequency_score_v1","66,11,24,73,08,26,31,38,03,04,06,07,10,13,15,16,18,20,21,27","03","1","596,983,005,038,141,333,360,390,464,477,507,609,623,630,720,726,775,787,851,870","138,274,324,530","0","9"
"2018-08-01","frequency_score_v1","66,11,24,73,03,08,26,31,38,04,06,07,10,13,15,16,18,20,21,27","32","0","596,983,005,038,141,333,360,390,464,477,507,530,609,623,630,720,726,775,787,851","549,602,788,903","0",""
"2018-08-16","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,04,06,07,10,13,15,16,18,20,21","40","0","596,983,005,038,141,333,360,390,464,477,507,530,602,609,623,630,720,726,775,787","103,117,591,670","0",""
"2018-09-01","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,04,06,07,10,13,15,16,18,20","64","0","596,983,005,038,117,141,333,360,390,464,477,507,530,602,609,623,630,720,726,775","097,264,510,512","0",""
"2018-09-16","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,04,06,07,10,13,15,16,18","23","0","596,983,005,038,117,141,333,360,390,464,477,507,530,602,609,623,630,720,726,775","155,539,760,793","0",""
"2018-10-01","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,04,06,07,10,13,15,16,18","94","0","596,983,005,038,117,141,333,360,390,464,477,507,530,602,609,623,630,720,726,775","561,643,726,995","1","19"
"2018-10-16","frequency_score_v1","66,11,24,73,03,08,26,31,32,38,40,64,94,04,06,07,10,13,15,16","86","0","596,726,983,005,038,117,141,333,360,390,464,477,507,530,602,609,623,630,720,775","192,392,515,931","0",""
